gaz,liquid_tm,liquid,energy,water,nd,pressure_zad,pressure_buf,d,lin,kvch,сurrent,freq,vol,id
0.0,4.0,29.106701036542653,420.5,84.05154639109969,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.7905773113220933,487
0.0,4.0,29.090721655264495,420.5,84.08247422613204,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.7821237028315666,487
0.0,4.0,29.074742273986338,420.5,84.11340206116438,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.77367009434104,487
0.0,4.0,29.05876289270818,420.5,84.14432989619672,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.7652164858505133,487
0.0,4.0,29.042783511430024,420.5,84.17525773122907,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.7567628773599866,487
0.0,4.0,29.026804130151866,420.5,84.20618556626141,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.74830926886946,487
0.0,4.0,29.01082474887371,420.5,84.23711340129375,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.7398556603789332,487
0.0,4.0,28.994845367595552,420.5,84.2680412363261,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.7314020518884066,487
0.0,4.0,28.978865986317395,420.5,84.29896907135844,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.72294844339788,487
0.0,4.0,28.962886605039238,420.5,84.32989690639079,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.714494834907353,487
0.0,4.0,28.94690722376108,420.5,84.36082474142313,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.7060412264168265,487
0.0,4.0,28.930927842482923,420.5,84.39175257645547,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.6975876179263,487
0.0,4.0,28.914948461204766,420.5,84.42268041148782,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.689134009435773,487
0.0,4.0,28.89896907992661,420.5,84.45360824652016,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.6806804009452465,487
0.0,4.0,28.88298969864845,420.5,84.4845360815525,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.67222679245472,487
0.0,4.0,28.867010317370294,420.5,84.51546391658485,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.663773183964193,487
0.0,4.0,28.851030936092137,420.5,84.5463917516172,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.6553195754736665,487
0.0,4.0,28.83505155481398,420.5,84.57731958664954,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.64686596698314,487
0.0,4.0,28.819072173535822,420.5,84.60824742168188,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.638412358492613,487
0.0,4.0,28.803092792257665,420.5,84.63917525671422,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.6299587500020865,487
0.0,4.0,28.787113410979508,420.5,84.67010309174657,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.6215051415115598,487
0.0,4.0,28.77113402970135,420.5,84.70103092677891,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.613051533021033,487
0.0,4.0,28.755154648423193,420.5,84.73195876181126,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.6045979245305064,487
